Region,Decade,female_count,total,percent_female
Southern Asia,1970,6,8,75.0
Southern Asia,1980,1,2,50.0
Southern Europe,1180,0,1,0.0
Southern Europe,1740,0,1,0.0
Southern Europe,1800,0,1,0.0
Southern Europe,1810,0,4,0.0
Southern Europe,1820,0,3,0.0
Southern Europe,1830,0,1,0.0
Southern Europe,1850,0,4,0.0
Southern Europe,1860,0,3,0.0
Southern Europe,1870,0,8,0.0
Southern Europe,1880,0,20,0.0
Southern Europe,1890,2,41,4.878048780487805
Southern Europe,1900,2,57,3.508771929824561
Southern Europe,1910,2,58,3.4482758620689653
Southern Europe,1920,10,123,8.130081300813007
Southern Europe,1930,14,131,10.687022900763358
Southern Europe,1940,9,89,10.112359550561797
Southern Europe,1950,6,51,11.76470588235294
Southern Europe,1960,12,50,24.0
Southern Europe,1970,6,35,17.142857142857142
Southern Europe,1980,5,12,41.66666666666667
Southern Europe,1990,0,3,0.0
Western Africa,1920,0,4,0.0
Western Africa,1930,0,3,0.0
Western Africa,1940,0,3,0.0
Western Africa,1950,0,4,0.0
Western Africa,1960,0,1,0.0
Western Africa,1970,0,3,0.0
Western Asia,1830,0,1,0.0
Western Asia,1880,0,2,0.0
Western Asia,1890,2,10,20.0
Western Asia,1900,0,6,0.0
Western Asia,1910,2,4,50.0
Western Asia,1920,0,5,0.0
Western Asia,1930,2,15,13.333333333333334
Western Asia,1940,1,9,11.11111111111111
Western Asia,1950,3,8,37.5
Western Asia,1960,8,19,42.10526315789473
Western Asia,1970,8,22,36.36363636363637
Western Asia,1980,6,10,60.0
Western Asia,1990,1,2,50.0
Western Europe,1760,0,1,0.0
Western Europe,1780,0,4,0.0
Western Europe,1790,0,7,0.0
Western Europe,1800,0,13,0.0
Western Europe,1810,0,26,0.0
Western Europe,1820,0,26,0.0
Western Europe,1830,0,25,0.0
Western Europe,1840,1,43,2.3255813953488373
Western Europe,1850,1,50,2.0
Western Europe,1860,5,117,4.273504273504273
Western Europe,1870,11,133,8.270676691729323
Western Europe,1880,17,216,7.87037037037037
Western Europe,1890,26,197,13.19796954314721
Western Europe,1900,24,193,12.435233160621761
Western Europe,1910,14,108,12.962962962962962
Western Europe,1920,14,217,6.451612903225806
Western Europe,1930,22,222,9.90990990990991
Western Europe,1940,36,224,16.071428571428573
Western Europe,1950,28,177,15.819209039548024
Western Europe,1960,69,222,31.08108108108108
Western Europe,1970,44,148,29.72972972972973
Western Europe,1980,16,41,39.02439024390244
Western Europe,1990,0,9,0.0
Western Europe,2000,0,7,0.0
Western Europe,2010,0,1,0.0
